class,type,name,showif,block_order,item_order,value,label,optional,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9
hide_label mc_width100 space_bottom_15,mc likert,out_a3a,ran_group == 1,A,6,,Creo que Lucas será uno de los mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a4a,ran_group == 1,A,6,,Lucas podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a5a,ran_group == 1,A,6,,Lucas podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a6a,ran_group == 1,A,6,,Lucas podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a7a,ran_group == 1,A,6,,Lucas podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_a1a,ran_group == 1,A,7,,¿Cómo evaluaría el rendimiento de Lucas en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_a1a,ran_group == 1,A,8,,¿Cómo evaluaría el rendimiento de Lucas en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_a1a,ran_group == 1,A,9,,"Pensando en el mismo estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_a1a,ran_group == 1,A,10,,¿Crees que Lucas logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig1,ran_group == 1,A,11,,continuar,,,,,,,,,,
,note,est_a1b,ran_group == 1,B,1,,"**Sofía** es **una niña Chilena** y forma parte de tu curso. En clases, **ella** suele quedarse mirando por la ventana durante largos períodos. Aunque participa levantando la mano, con frecuencia olvida la respuesta cuando se le da la palabra. Es probable que repruebe la asignatura de matemáticas. A **ella** le cuesta concentrarse e interrumpe con frecuencia el desarrollo de la clase. **Sofía** realiza sus tareas de manera descuidada y con frecuencia no las entrega. Además, presenta dificultades para integrarse en la comunidad escolar. Su desempeño en lenguaje es uno de los más bajos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_a1b,ran_group == 1,B,2,,¿De qué nacionalidad es esta estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_a1b,ran_group == 1,B,3,,¿Cuál es el sexo de esta estudiante?,,Mujer,Hombre,,,,,,,
,note,note_a1b,ran_group == 1,B,4,,"Considerando a esta estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list1sofia,ran_group == 1,B,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a1b,ran_group == 1,B,6,,Creo que Sofía obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a2b,ran_group == 1,B,6,,Creo que Sofía es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a3b,ran_group == 1,B,6,,Creo que Sofía será una de las mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a4b,ran_group == 1,B,6,,Sofía podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a5b,ran_group == 1,B,6,,Sofía podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a6b,ran_group == 1,B,6,,Sofía podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a7b,ran_group == 1,B,6,,Sofía podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_a1b,ran_group == 1,B,7,,¿Cómo evaluaría el rendimiento de Sofía en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_a1b,ran_group == 1,B,8,,¿Cómo evaluaría el rendimiento de Sofía en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_a1b,ran_group == 1,B,9,,"Pensando en la misma estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_a1b,ran_group == 1,B,10,,¿Crees que Sofía logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig2,ran_group == 1,B,11,,continuar,,,,,,,,,,
,note,est_a1c,ran_group == 1,C,1,,"**Stevenson** es **un niño Haitiano** y forma parte de tu curso. En clases, **él** suele quedarse mirando por la ventana durante largos períodos. Aunque participa levantando la mano, con frecuencia olvida la respuesta cuando se le da la palabra. Es probable que repruebe la asignatura de matemáticas. A **él** le cuesta concentrarse e interrumpe con frecuencia el desarrollo de la clase. **Stevenson** realiza sus tareas de manera descuidada y con frecuencia no las entrega. Además, presenta dificultades para integrarse en la comunidad escolar. Su desempeño en lenguaje es uno de los más bajos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_a1c,ran_group == 1,C,2,,¿De qué nacionalidad es este estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_a1c,ran_group == 1,C,3,,¿Cuál es el sexo de este estudiante?,,Mujer,Hombre,,,,,,,
,note,note_a1c,ran_group == 1,C,4,,"Considerando a este estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list1stevenson,ran_group == 1,C,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a1c,ran_group == 1,C,6,,Creo que Stevenson obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a2c,ran_group == 1,C,6,,Creo que Stevenson es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a3c,ran_group == 1,C,6,,Creo que Stevenson será uno de los mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a4c,ran_group == 1,C,6,,Stevenson podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a5c,ran_group == 1,C,6,,Stevenson podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a6c,ran_group == 1,C,6,,Stevenson podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a7c,ran_group == 1,C,6,,Stevenson podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_a1c,ran_group == 1,C,7,,¿Cómo evaluaría el rendimiento de Stevenson en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_a1c,ran_group == 1,C,8,,¿Cómo evaluaría el rendimiento de Stevenson en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_a1c,ran_group == 1,C,9,,"Pensando en el mismo estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_a1c,ran_group == 1,C,10,,¿Crees que Stevenson logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig3,ran_group == 1,C,11,,continuar,,,,,,,,,,
,note,est_a1d,ran_group == 1,D,1,,"**Widelene** es **una niña Haitiana** y forma parte de tu curso. En clases, **ella** suele quedarse mirando por la ventana durante largos períodos. Aunque participa levantando la mano, con frecuencia olvida la respuesta cuando se le da la palabra. Es probable que repruebe la asignatura de matemáticas. A **ella** le cuesta concentrarse e interrumpe con frecuencia el desarrollo de la clase. **Widelene** realiza sus tareas de manera descuidada y con frecuencia no las entrega. Además, presenta dificultades para integrarse en la comunidad escolar. Su desempeño en lenguaje es uno de los más bajos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_a1d,ran_group == 1,D,2,,¿De qué nacionalidad es esta estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_a1d,ran_group == 1,D,3,,¿Cuál es el sexo de esta estudiante?,,Mujer,Hombre,,,,,,,
,note,note_a1d,ran_group == 1,D,4,,"Considerando a esta estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list1widelene,ran_group == 1,D,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a1d,ran_group == 1,D,6,,Creo que Widelene obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a2d,ran_group == 1,D,6,,Creo que Widelene es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a3d,ran_group == 1,D,6,,Creo que Widelene será una de las mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a4d,ran_group == 1,D,6,,Widelene podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a5d,ran_group == 1,D,6,,Widelene podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a6d,ran_group == 1,D,6,,Widelene podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a7d,ran_group == 1,D,6,,Widelene podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_a1d,ran_group == 1,D,7,,¿Cómo evaluaría el rendimiento de Widelene en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_a1d,ran_group == 1,D,8,,¿Cómo evaluaría el rendimiento de Widelene en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_a1d,ran_group == 1,D,9,,"Pensando en la misma estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_a1d,ran_group == 1,D,10,,¿Crees que Widelene logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig4,ran_group == 1,D,11,,continuar,,,,,,,,,,
,note,est_a1e,ran_group == 1,E,1,,"**Yi-Jun** es **un niño Sur-Coreano** y forma parte de tu curso. En clases, **él** suele quedarse mirando por la ventana durante largos períodos. Aunque participa levantando la mano, con frecuencia olvida la respuesta cuando se le da la palabra. Es probable que repruebe la asignatura de matemáticas. A **él** le cuesta concentrarse e interrumpe con frecuencia el desarrollo de la clase. **Yi-Jun** realiza sus tareas de manera descuidada y con frecuencia no las entrega. Además, presenta dificultades para integrarse en la comunidad escolar. Su desempeño en lenguaje es uno de los más bajos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_a1e,ran_group == 1,E,2,,¿De qué nacionalidad es este estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_a1e,ran_group == 1,E,3,,¿Cuál es el sexo de este estudiante?,,Mujer,Hombre,,,,,,,
,note,note_a1e,ran_group == 1,E,4,,"Considerando a este estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list1juno,ran_group == 1,E,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a1e,ran_group == 1,E,6,,Creo que Yi-Jun tendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a2e,ran_group == 1,E,6,,Creo que Yi-Jun es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a3e,ran_group == 1,E,6,,Creo que Yi-Jun será uno de los mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a4e,ran_group == 1,E,6,,Yi-Jun podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a5e,ran_group == 1,E,6,,Yi-Jun podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a6e,ran_group == 1,E,6,,Yi-Jun podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a7e,ran_group == 1,E,6,,Yi-Jun podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_a1e,ran_group == 1,E,7,,¿Cómo evaluaría el rendimiento de Yi-Jun en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_a1e,ran_group == 1,E,8,,¿Cómo evaluaría el rendimiento de Yi-Jun en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_a1e,ran_group == 1,E,9,,"Pensando en el mismo estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_a1e,ran_group == 1,E,10,,¿Crees que Yi-Jun logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig5,ran_group == 1,E,11,,continuar,,,,,,,,,,
,note,est_a1f,ran_group == 1,F,1,,"**Yi-Seo** es **una niña Sur-Coreana** y forma parte de tu curso. En clases, **ella** suele quedarse mirando por la ventana durante largos períodos. Aunque participa levantando la mano, con frecuencia olvida la respuesta cuando se le da la palabra. Es probable que repruebe la asignatura de matemáticas. A **ella** le cuesta concentrarse e interrumpe con frecuencia el desarrollo de la clase. **Yi-Seo** realiza sus tareas de manera descuidada y con frecuencia no las entrega. Además, presenta dificultades para integrarse en la comunidad escolar. Su desempeño en lenguaje es uno de los más bajos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_a1f,ran_group == 1,F,2,,¿De qué nacionalidad es esta estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_a1f,ran_group == 1,F,3,,¿Cuál es el sexo de esta estudiante?,,Mujer,Hombre,,,,,,,
,note,note_a1f,ran_group == 1,F,4,,"Considerando a esta estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list1seo,ran_group == 1,F,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a1f,ran_group == 1,F,6,,Creo que Yi-Seo obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a2f,ran_group == 1,F,6,,Creo que Yi-Seo es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a3f,ran_group == 1,F,6,,Creo que Yi-Seo será una de las mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a4f,ran_group == 1,F,6,,Yi-Seo podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a5f,ran_group == 1,F,6,,Yi-Seo podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a6f,ran_group == 1,F,6,,Yi-Seo podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a7f,ran_group == 1,F,6,,Yi-Seo podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_a1f,ran_group == 1,F,7,,¿Cómo evaluaría el rendimiento de Yi-Seo en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_a1f,ran_group == 1,F,8,,¿Cómo evaluaría el rendimiento de Yi-Seo en lenguaje?,,Muy bajo,Muy alto,,,,,,,
mc_vertical answer_below_label,mc educacion,educ_vineta_a1f,ran_group == 1,F,9,,"Pensando en la misma estudiante, ¿cuál cree que será el nivel educativo más alto que llegará a alcanzar?",,,,,,,,,,
mc_vertical answer_below_label,mc si_no,educ2_vineta_a1f,ran_group == 1,F,10,,¿Crees que Yi-Seo logrará estudiar lo que quiere?,,,,,,,,,,
,submit,vig6,ran_group == 1,F,11,,continuar,,,,,,,,,,
,note,est_b1a,ran_group == 2,A,1,,"**Lucas** es **un niño Chileno** y forma parte de tu curso. En clases, **él** se mantiene atento al desarrollo de las actividades. Participa activamente levantando la mano y suele dar respuestas claras y bien fundamentadas. Es probable que sea el mejor de su curso en matemáticas. A **él** le es fácil concentrarse y contribuye al desarrollo de la clase con preguntas y comentarios. **Lucas** entrega puntualmente sus tareas, cuidando la presentación y el contenido. Además, se integra fácilmente en la comunidad escolar. Su desempeño en lenguaje es uno de los más altos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_b1a,ran_group == 2,A,2,,¿De qué nacionalidad es este estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_b1a,ran_group == 2,A,3,,¿Cuál es el sexo de este estudiante?,,Mujer,Hombre,,,,,,,
,note,note_b1a,ran_group == 2,A,4,,"Considerando a este estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list2lucas,ran_group == 2,A,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b1a,ran_group == 2,A,6,,Creo que Lucas obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b2a,ran_group == 2,A,6,,Creo que Lucas es inteligente.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b3a,ran_group == 2,A,6,,Creo que Lucas será uno de los mejores estudiantes de su curso este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b4a,ran_group == 2,A,6,,Lucas podría beneficiarse de clases de reforzamiento en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b5a,ran_group == 2,A,6,,Lucas podría beneficiarse de trabajar con un/a compañero/a en matemáticas.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b6a,ran_group == 2,A,6,,Lucas podría beneficiarse de clases de reforzamiento en lenguaje.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_b7a,ran_group == 2,A,6,,Lucas podría beneficiarse de trabajar con un/a compañero/a en lenguaje.,,,,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_mat_b1a,ran_group == 2,A,7,,¿Cómo evaluaría el rendimiento de Lucas en matemáticas?,,Muy bajo,Muy alto,,,,,,,
answer_below_label,"rating_button 1,7,1",desempeno_vinetas_len_b1a,ran_group == 2,A,8,,¿Cómo evaluaría el rendimiento de Lucas en lenguaje?,,Muy bajo,Muy alto,,,,,,,
